S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Total Electors,Total Votes,Poll%
56,GEN,Thalli,T. Ramachandran,CPI,120641,62.18,Dr. C. Nagesh Kumar,BJP,64415,33.2,56226,363029,235863,65.00%
57,GEN,Palacode,K. P. Anbalagan,ADMK,110070,53.28,P. K. Murugan,DMK,81970,39.68,28100,327294,262123,80.10%
58,SC,Pennagaram,G. K. Mani,PMK,106123,50.46,P. N. P. Inbasekaran,DMK,84937,40.39,21186,327294,262123,80.10%
59,SC,Dharmapuri,S. P. Venkateshwaran,PMK,105630,48.6,Thadangam P. Subramani,DMK,78770,36.24,26860,407266,260066,63.90%
60,GEN,Pappireddippatti,A. Govindasamy,ADMK,114507,51.81,M. Prabhu Rajasekar,DMK,77564,35.1,36943,407266,260066,63.90%
61,GEN,Harur (SC),V. Sampathkumar,ADMK,99061,49.89,A. Kumar,CPI(M),68699,34.6,30362,380754,246691,64.80%
62,GEN,Chengam (SC),M. P. Giri,DMK,108081,48.26,M. S. Nainakannu,ADMK,96511,43.09,11570,380754,246691,64.80%
63,GEN,Tiruvannamalai,E. V. Velu,DMK,137876,66.02,S. Thanigaivel,BJP,43203,20.69,94673,397706,271012,68.10%
64,GEN,Kilpennathur,K. Pitchandi,DMK,104675,51.34,K. Selvakumar,PMK,77888,38.2,26787,397706,271012,68.10%
65,GEN,Kalasapakkam,P. S. T. Saravanan,DMK,94134,47.92,V. Panneerselvam,ADMK,84912,43.23,9222,270769,224747,83.00%
66,GEN,Polur,S. S. Krishnamoorthy,ADMK,97732,48.38,K. V. Sekaran,DMK,88007,43.57,9725,270769,224747,83.00%
67,GEN,Arani,Sevvoor S. Ramachandran,ADMK,102961,46.5,S. S. Anbazhagan,DMK,99833,45.09,3128,216506,177979,82.20%
68,SC,Cheyyar,O. Jothi,DMK,102460,47.78,K. Mohan,ADMK,90189,42.05,12771,216506,177979,82.20%
69,SC,Vandavasi (SC),S. Ambethkumar,DMK,102064,54.88,S. Murali Shankar,PMK,66111,35.55,35953,218271,184471,84.50%
70,SC,Gingee,K. S. Masthan,DMK,109625,52.99,M. P. S. Rajendran,PMK,73822,35.68,35803,218271,184471,84.50%
71,SC,Mailam,C. Sivakumar,PMK,81044,45.79,Dr. R. Masilamani,DMK,78814,44.53,2230,247035,209577,84.80%
72,GEN,Tindivanam,P. Arjunan,ADMK,87152,47.74,P. Seethapathy,DMK,77399,42.4,9753,247035,209577,84.80%
73,GEN,Vanur (SC),M. Chakrapani,ADMK,92219,50.61,Vanni Arasu,VCK,70492,38.69,21727,293532,226893,77.30%
