S.no,Type,Constituency,Winner,Winner Party,Winner Vote,Winner %,Runner ,Runner Party,Runner Votes,Runner %,Margi,Total Electors,Total Votes,Poll%
94,GEN,Rasipuram,Ramalingam K. P.,AIADMK,51565,52.45,Kaliappan. P.,DMK,41087,41.79,10478,137200,103898,75.70%
95,ST,Sendamangalam,S. Sivaprakasam,AIADMK,54129,64.17,Kalavathi. S.,DMK,26277,31.15,27852,137028,90660,66.20%
96,SC,Namakkal,R. Arunachalam,AIADMK,58158,56.93,K. Veluchami,DMK,40868,40.01,17290,149546,109850,73.50%
97,GEN,Kapilamalai,P. Sengottaiyan,INC,51233,53.52,K. A. Mani,Independent,40090,41.88,11143,135937,102493,75.40%
98,GEN,Tiruchengodu,Ponnaiyan C.,AIADMK,77659,55.38,Kandasamy. M. M.,DMK,58437,41.67,19222,206470,146355,70.90%
99,SC,Sankari,P. Dhanapal,AIADMK,58276,56.99,Murugesan. S.,DMK,41906,40.98,16370,155258,106906,68.90%
100,GEN,Edapadi,Govindaswamy,INC,68583,64.78,Arumugam. P.,DMK,27860,26.32,40723,156478,113069,72.30%
101,GEN,Mettupalayam,Chinnaraj. M.,AIADMK,61951,59.6,Mathiyan. M.,DMK,41527,39.95,20424,142909,109008,76.30%
102,SC,Avanashi,Lakshmi P.,AIADMK,58677,67.3,Arumugam. M.,CPI,24504,28.11,34173,131978,94161,71.30%
103,GEN,Thondamuthur,Aranganayakam,AIADMK,67679,57.48,Vellingiri. U. K.,CPI(M),45353,38.52,22326,173480,123824,71.40%
104,GEN,Singanallur,Sengalippan R.,JP,54787,49.37,Subramaniam. A.,INC,49856,44.92,4931,156258,116905,74.80%
105,GEN,Coimbatore (West),M. Ramanathan,DMK,44542,51.91,Hakkeem M. A.,INC,37650,43.87,6892,127846,88821,69.50%
106,GEN,Coimbatore (East),K. Ramani,CPI(M),40891,48.14,Kovai Thambi,AIADMK,39832,46.89,1059,137305,88021,64.10%
107,GEN,Perur,A. Natarasan,DMK,58302,52.63,K. Marudasalam,AIADMK,51241,46.26,7061,161164,116393,72.20%
108,GEN,Kinathukadavu,K. V. Kandaswamy,AIADMK,50375,56.69,M. Kannappan,DMK,38492,43.31,11883,120894,93091,77.00%
109,GEN,Pollachi,M. V. Rathinam,AIADMK,54337,52.6,S. Raju,DMK,47527,46.01,6810,145707,107496,73.80%
110,SC,Valparai,V. Thangavelu,INC,48779,63.46,A. T. Karuppiah,CPI,26109,33.97,22670,113330,81782,72.20%
111,GEN,Udumalaipettai,S. Thirumalaisamy Gounder,INC,56004,53.3,R. T. Mariyappan,DMK,46526,44.28,9478,144150,111366,77.30%
112,SC,Dharapuram,Periasamy. A.,AIADMK,51919,59.09,Ayyasamy. R.,DMK,35951,40.91,15968,128788,91650,71.20%
113,GEN,Vellakoil,Durai Ramasamy,AIADMK,54188,55.82,Appan Palanisamy,DMK,42881,44.18,11307,129410,101235,78.20%
