Sl No.,Constituency Name,Category,Winner ,Party, Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
131,Ariyanad,GEN,K. Pankajakshan,RSP,37936,P. Vijayadas,INC,33699,4237,104119,80489,77.30%
132,Nedumangad,GEN,K. V. Surendranath,CPI,47914,Palode Ravi,INC,42371,5543,125938,99857,79.30%
133,Kazhakuttam,GEN,Nabeesa Ummal,IND,45894,Navaikulam Rasheed,MUL,32786,13108,126140,92877,73.60%
134,Trivandrum North,GEN,M. Vijaya Kumar,CPM,53167,G. Karthikeyan,INC,38002,15165,140159,107184,76.50%
135,Trivandrum West,GEN,M. M. Hassan,INC,35732,T. J. Chandra Choodan,RSP,30096,5636,125357,88476,70.60%
136,Trivandrum East,GEN,K. Sankaranarayana Pillai,ICS(SCS),35562,Kummanam Rajasekharan,IND,23835,11727,117152,85501,73.00%
137,Nemom,GEN,V. J. Thankappan,CPM,47748,V. S. Maheswaran Pillai,IND,26993,20755,126562,96010,75.90%
138,Kovalam,GEN,A. Neelalohitha Dasan Nadar,LKD,54290,N. Sakthan Nadar,INC,32391,21899,127206,95671,75.20%
139,Neyyattinkara,GEN,S. R. Thankaraj,JNP,45212,K. C. Thankaraj,INC,32148,13064,124092,96056,77.40%
140,Parassala,GEN,M. Sathyanesan,CPM,41754,N. Sundaran Nadar,INC,35062,6692,119240,91198,76.50%
