Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party.1,Runner Vote,Margin,Total electors,Total Votes,Poll%
53,Alathur,GEN,A.V. Gopinathan,INC,49512,V. Sukumaran Master,CPM,49174,338,136727,102439,74.90%
54,Chelakara,(SC),M.P. Thami,INC,47790,C. Kuttappan,CPM,43429,4361,139639,96508,69.10%
55,Wadakkanchery,GEN,K.S. Narayanan Namboodiri,INC,51414,K. Mohandas,KEC,43773,7641,147898,103893,70.20%
56,Kunnamkulam,GEN,T.V. Chandramohan,INC,53099,K.P. Aravindhakshan,CPM,50344,2755,151547,110478,72.90%
57,Cherpu,GEN,V.V. Raghavan,CPI,50767,M.K. Abdul Salam,INC,46309,4458,138813,102580,73.90%
58,Trichur,GEN,Therambil Ramakrishnan,INC,53190,E.K. Menon,CPM,45899,7291,147623,104879,71.00%
59,Ollur,GEN,P.P. George,INC,57910,A.M. Paraman,CPI,52669,5241,155530,116383,74.80%
60,Kodakara,GEN,K. P. Viswanathan,INC,49971,P.R. Rajan,CPM,48360,1611,142402,106943,75.10%
61,Chalakudi,GEN,Rosamma Chacko,INC,49482,Jose Painadath,JD,42742,6740,129702,98598,76.00%
62,Mala,GEN,K. Karunakaran,INC,50966,V.K. Rajan,CPI,48492,2474,135367,104770,77.40%
63,Irinjalakuda,GEN,Lonappan Nambadan,IND,53351,A.L. Sebastian,KCM,43927,9424,143656,105135,73.20%
64,Manalur,GEN,V.M. Sudheeran,INC,45930,K.F. Davis,CPM,40414,5516,128217,93633,73.00%
65,Guruvayoor,GEN,P.M. Abubacker,MUL,40496,K.K. Kammu,IND,34820,5676,130049,87719,67.50%
66,Nattika,GEN,Krishnan Kaniyamparabil,CPI,44762,Raghvan Pozhakadavil,INC,43596,1166,125492,94410,75.20%
67,Kodungallur,GEN,Meenakshy Thampan,CPI,53542,T.A. Ahammed Kabeer,MUL,42353,11189,137057,106271,77.50%
68,Ankamali,GEN,P.J. Joy,INC,60441,M.V. Mani,KEC,52843,7598,154181,123530,80.10%
69,Vadakkekara,GEN,S. Sarma,CPM,52897,M.I. Shanavas,INC,52100,797,133663,109941,82.30%
70,Parur,GEN,P.Raju,CPI,43551,Karthav,IND,40719,2832,123712,92495,74.80%
